;Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_before_stress;TV_after_stress;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next
54;300128;DE000CZ45YV9;4691072.915365;5.311327174;5.311327174;17447.14492;-161952.84982885793;;0.0;0.0;4866069.671;7.0;DE000CZ45YV9;Bond;4691072.915365;4529120.065536142;0.0025;5.288872097128993;0.004;5.2753990510063895
55;300128;DE000DL19VZ9;2668736.22486;2.216843874;2.216843874;2003.538841;-70994.05861683331;;0.0;0.0;2747356.164;6.0;DE000DL19VZ9;Bond;2668736.22486;2597742.1662431667;0.0025;2.210361255294303;0.0095;2.1922099229183503
56;300128;DE000HCB0B44;3939640.5302150003;2.961459964;2.961459964;4868.94069;-75836.07006809246;;0.0;0.0;4019875.288;6.0;DE000HCB0B44;Bond;3939640.5302150003;3863804.4601469077;0.0025;2.9524884641491247;0.004;2.9471055642386
57;300128;DUM25 Cmdty;0.0;0.0;0.0;6507.391029;-92363.6094;;0.0;0.0;11978960.0;;;Bond Future;0.0;-92363.6094;0.0025;0.0;0.0015;0.0
58;300128;ES0000011868;4664837.544960001;3.449348628;3.449348628;7558.115373;-96543.90591330401;;0.0;0.0;4765925.343;10.0;ES0000011868;Bond;4664837.544960001;4568293.639046697;0.0025;3.438587862680821;0.0035;3.4342835565531495
59;300128;ES00000124H4;2433315.63962;12.61380344;12.61380344;56681.99045;-184160.19111386733;;0.0;0.0;2636907.872;10.0;ES00000124H4;Bond;2433315.63962;2249155.4485061327;0.0025;12.429220081586829;0.0035;12.355386738221561
60;300128;ES00000128C6;2052108.8301;15.02568361;15.02568361;65912.41636;-185006.02808621904;;0.0;0.0;2260515.423;10.0;ES00000128C6;Bond;2052108.8301;1867102.802013781;0.0025;14.787127601907168;0.0035;14.691705198670034
61;300128;ES00000128E2;621290.86072;19.77205432;19.77205432;42886.26115;-73705.17988005235;;0.0;0.0;705593.7229;10.0;ES00000128E2;Bond;621290.86072;547585.6808399477;0.0025;19.023697874241062;0.0035;18.724355295937485
62;300128;ES00000128Q6;6403157.81768;7.29191605;7.29191605;42951.2916;-280147.7355685426;;0.0;0.0;6705437.894;10.0;ES00000128Q6;Bond;6403157.81768;6123010.082111457;0.0025;7.2571504089777035;0.0035;7.243244152568784
63;300128;ES0000012E69;2252692.90996;8.991600724;8.991600724;22786.56256;-121531.89120087601;;0.0;0.0;2385466.516;10.0;ES0000012E69;Bond;2252692.90996;2131161.018759124;0.0025;8.940841565284563;0.0035;8.920537901798388
64;300128;ES0000012F76;7287998.20954;4.872309842;4.872309842;21609.73203;-213056.31242892073;;0.0;0.0;7513605.391;10.0;ES0000012F76;Bond;7287998.20954;7074941.89711108;0.0025;4.857530546276407;0.0035;4.85161882798697
65;300128;ES0000012H58;279723.416572;25.63598008;25.63598008;31893.42356;-43025.90361089601;;0.0;0.0;331494.2137;10.0;ES0000012H58;Bond;279723.416572;236697.512961104;0.0025;24.428546001543634;0.0035;23.945572370161088
66;300128;ES0000012K20;6619099.35662;6.669732174;6.669732174;35861.61409;-264885.7196505067;;0.0;0.0;6903717.26;10.0;ES0000012K20;Bond;6619099.35662;6354213.636969493;0.0025;6.645498008476859;0.0035;6.635804342267602
67;300128;ES0000012K46;2313066.71172;18.97488832;18.97488832;121810.8837;-263341.0951895798;;0.0;0.0;2617401.096;10.0;ES0000012K46;Bond;2313066.71172;2049725.6165304203;0.0025;18.55845250865236;0.0035;18.3918781841133
68;300128;ES0000012L60;404735.901742;10.61358816;10.61358816;6226.399203;-25774.20104793489;;0.0;0.0;433094.1904;10.0;ES0000012L60;Bond;404735.901742;378961.70069406513;0.0025;10.51061237106202;0.0035;10.469422055486827
69;300128;ES0840609012;1193475.077684;0.947859678;0.947859678;138.0328358;-13574.962834014974;;0.0;0.0;1207369.565;3.0;ES0840609012;Bond;1193475.077684;1179900.1148499849;0.0025;0.9472143670113146;0.0095;0.945407496242995
