,Portfolio,Counterparty,Balance_J,Balance_J_1,Variation,Seuil declenchement,Seuil_respecte,Appel_declenche,Sens_appel,Balance_apres_appel,Fonds_monetaires_initial,Fonds_monetaires_utilises,Fonds_monetaires_restant,Obligations_liquides_initial,Obligations_liquides_utilisees,Obligations_liquides_restantes,Cash_initial,Cash_disponible,Cash_utilise,Cash_restant,Alerte
90,900300,CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,900300,GOLDMAN SACHS BANK EUROPE SE,0.0,-120000.0,120000.0,100000.0,False,True,Contrepartie poste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,900300,GOLDMAN SACHS INTERNATIONAL,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93,900300,J.P. MORGAN SECURITIES LIMITED,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94,900300,JP MORGAN SE,0.0,0.0,0.0,250000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,900300,MORGAN STANLEY EUROPE SE,0.0,220000.0,-220000.0,100000.0,False,True,Groupama poste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cash insuffisant (220 000.00)
96,900300,NATIXIS,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97,900300,SOCIETE GENERALE,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,900300,State Street Bank International GmbH,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,900500,BNP PARIBAS,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,900500,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,900500,GOLDMAN SACHS BANK EUROPE SE,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
102,900500,GOLDMAN SACHS INTERNATIONAL,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
103,900500,J.P. MORGAN SECURITIES LIMITED,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
