Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_day;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next;EquityDelta_next;FXDelta_next
300128;FR0013154044;6431331.507;9.888794075;9.888794075;72869.49608;-295920.88704;;0.0;0.0;6431331.507;10.0;FR0013154044;Bond;6135410.61996;0.0025;9.850004938311526;0.0;9.888794075;0.0;0.0
300128;FR0013257524;4214780.548;16.67814805;16.67814805;148860.9701;-324659.76052500005;;0.0;0.0;4214780.548;10.0;FR0013257524;Bond;3890120.787475;0.0025;16.490579731210026;0.0;16.67814805;0.0;0.0
300128;FR0013259132;21664618.24;3.282306222;4.689988881;33431.0188;-1643238.868470206;;8.372916612;-436.2308483;21664803.9;;FR0013259132;Fund Unit;20021379.37152979;0.0025;3.2706621576144403;0.0;4.689988881;7.737839553780935;-403.1431899987434
300128;FR0013404969;4833822.117;18.57429095;18.57429095;207946.5512;-415520.95895999996;;0.0;0.0;4833822.117;10.0;FR0013404969;Bond;4418301.15804;0.0025;18.36132481153491;0.0;18.57429095;0.0;0.0
300128;FR0013426368;1632310.137;8.352504684;8.352504684;13210.61024;-82587.18917999999;;0.0;0.0;1632310.137;7.0;FR0013426368;Bond;1549722.9478200001;0.0025;8.324585553334321;0.0;8.352504684;0.0;0.0
300128;FR0013451507;9233451.71;4.534326261;4.534326261;23062.47609;-193636.86606000003;;0.0;0.0;9233451.71;10.0;FR0013451507;Bond;9039814.843940001;0.0025;4.523283820835316;0.0;4.534326261;0.0;0.0
300128;FR0013455854;1952980.769;3.989077969;3.989077969;3726.469298;-96083.06645999999;;0.0;0.0;1952980.769;4.0;FR0013455854;Bond;1856897.7025400002;0.0025;3.981157496953292;0.0;3.989077969;0.0;0.0
300128;FR0013460607;1463113.767;1.744901964;1.744901964;695.6899283;-15393.922751999999;;0.0;0.0;1463113.767;6.0;FR0013460607;Bond;1447719.844248;0.0025;1.7406265243093029;0.0;1.744901964;0.0;0.0
300128;FR0013461795;1994865.58;1.080321634;1.080321634;342.1250994;-26533.251636;;0.0;0.0;1994865.58;3.0;FR0013461795;Bond;1968332.3283640002;0.0025;1.078951800244992;0.0;1.080321634;0.0;0.0
300128;FR0013476611;1251005.137;1.723500831;1.723500831;581.3194816;-26768.561928000003;;0.0;0.0;1251005.137;7.0;FR0013476611;Bond;1224236.575072;0.0025;1.7193099205341673;0.0;1.723500831;0.0;0.0
300128;FR0013516549;6797723.6;5.49938034;5.49938034;24194.0649;-173062.593315;;0.0;0.0;6797723.6;10.0;FR0013516549;Bond;6624661.006685;0.0025;5.4860097454154815;0.0;5.49938034;0.0;0.0
300128;FR00140007L3;1912260.274;3.429185656;3.429185656;2980.162757;-113271.741561;;0.0;0.0;1912260.274;7.0;FR00140007L3;Bond;1798988.532439;0.0025;3.4196226820755897;0.0;3.429185656;0.0;0.0
300128;FR0014000OZ2;1976958.904;0.630868859;0.630868859;199.3499721;-15469.026384;;0.0;0.0;1976958.904;7.0;FR0014000OZ2;Bond;1961489.8776160001;0.0025;0.6293429307966276;0.0;0.630868859;0.0;0.0
300128;FR0014009HA0;3630625.0;1.908823613;1.908823613;2000.670038;-86061.36290400001;;0.0;0.0;3630625.0;8.0;FR0014009HA0;Bond;3544563.637096;0.0025;1.9041562846545184;0.0;1.908823613;0.0;0.0
300128;FR001400DTA3;1646218.301;6.408588551;6.408588551;8324.89225;-64508.88756;;0.0;0.0;1646218.301;6.0;FR001400DTA3;Bond;1581709.41344;0.0025;6.3848390807910596;0.0;6.408588551;0.0;0.0
300128;FR001400F0H3;3418662.137;3.224765432;3.224765432;4773.70152;-67650.19338;;0.0;0.0;3418662.137;6.0;FR001400F0H3;Bond;3351011.94362;0.0025;3.215854077246083;0.0;3.224765432;0.0;0.0
300128;FR001400FTH3;931347.3973;17.48289664;17.48289664;39895.79922;-75015.799155;;0.0;0.0;931347.3973;10.0;FR001400FTH3;Bond;856331.5981449999;0.0025;17.17610966499578;0.0;17.48289664;0.0;0.0
300128;FR001400H7V7;16164471.23;6.937582303;6.937582303;95871.97916;-520227.56070000003;;0.0;0.0;16164471.23;10.0;FR001400H7V7;Bond;15644243.669300001;0.0025;6.90963164977031;0.0;6.937582303;0.0;0.0
300128;FR001400H9B5;3443156.164;4.319425774;4.319425774;8435.057147;-100096.451455;;0.0;0.0;3443156.164;7.0;FR001400H9B5;Bond;3343059.712545;0.0025;4.304824275871557;0.0;4.319425774;0.0;0.0
300128;FR001400I7P8;1333779.452;2.769179012;2.769179012;1456.243622;-45936.533532;;0.0;0.0;1333779.452;6.0;FR001400I7P8;Bond;1287842.9184680001;0.0025;2.761054457841108;0.0;2.769179012;0.0;0.0
300128;FR001400M1X9;3601605.479;6.31129475;6.31129475;19256.80764;-284495.39844;;0.0;0.0;3601605.479;7.0;FR001400M1X9;Bond;3317110.0805599997;0.0025;6.277207634253181;0.0;6.31129475;0.0;0.0
300128;FR001400MLX3;2509270.685;3.282491367;3.282491367;3613.179399;-139748.9716425;;0.0;0.0;2509270.685;6.0;FR001400MLX3;Bond;2369521.7133575003;0.0025;3.273429938514986;0.0;3.282491367;0.0;0.0
300128;FR001400O671;1238289.041;5.045635092;5.045635092;3977.836196;-78104.84122799999;;0.0;0.0;1238289.041;6.0;FR001400O671;Bond;1160184.199772;0.0025;5.028972054321788;0.0;5.045635092;0.0;0.0
300128;FR001400Q6Z9;2554450.192;3.456511952;3.456511952;4136.310411;-148639.07981999998;;0.0;0.0;2554450.192;6.0;FR001400Q6Z9;Bond;2405811.1121799997;0.0025;3.4458992234201458;0.0;3.456511952;0.0;0.0
300128;FR001400UM87;698528.8462;6.860237419;6.860237419;4126.062049;-59134.371924;;0.0;0.0;698528.8462;4.0;FR001400UM87;Bond;639394.474276;0.0025;6.830224853929656;0.0;6.860237419;0.0;0.0
300128;FR001400WK95;1830132.0;2.469520545;2.469520545;1578.814532;-27121.885944;;0.0;0.0;1830132.0;7.0;FR001400WK95;Bond;1803010.114056;0.0025;2.463199925418696;0.0;2.469520545;0.0;0.0
300128;FR001400WKP0;1916371.233;4.61058933;4.61058933;5176.06046;-110450.745456;;0.0;0.0;1916371.233;7.0;FR001400WKP0;Bond;1805920.487544;0.0025;4.596208924698403;0.0;4.61058933;0.0;0.0
300128;FXF11704;-20552.83999999985;0.076712328;0.0;-0.0029402819999999608;0.0;NATIXIS;0.0;129669.6507;-20552.83999999985;;;Currency Forward;-20552.83999999985;0.0;0.076712328;0.0;0.0;0.0;129669.6507
300128;FXW1023888;-4668.753400000045;0.076712328;0.0;-0.0006880280000000072;20875.044185000002;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;-8350.017674;-4668.753400000045;;;Currency Forward;16206.290784999957;0.0;0.076712328;0.0;0.0;0.0;-28984.785207274323
