;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;LiquidityScore;TV_before_stress
3463;400804;FR0014007VJ6;FR0014007VJ6;Bond;GROUPE BPCE SA (EUR 1.750, 2-Feb-2034);4658.853007;3.613585276;0.0;0.0;0.0;3.755010502;2779448.63;3000000.0;-959.0986318335142;-959.0986318335142;3.613585276;2654146.94432;0.103315058;2779448.63;;7.0;2779448.63
3464;400804;FR00140082Z6;FR00140082Z6;Bond;JC DECAUX SA (EUR 1.625, 7-Feb-2030);6637.947148;4.535147115;0.0;0.0;0.0;4.691004667;2767455.205;3000000.0;-1220.9694030793;-1220.9694030793;4.535147115;2692237.6984;0.102869249;2767455.205;;6.0;2767455.205
3465;400804;FR0014008CP1;FR0014008CP1;Bond;SYNDICAT TRANSPORT ILE DE FRANCE (EUR 1.275, 14-Feb-2042);31497.35878;14.23397427;0.0;0.0;0.0;14.80345807;1343283.836;2000000.0;-1785.2054241291908;-1785.2054241291908;14.23397427;1254186.2098849998;0.049931287;1343283.836;;6.0;1343283.836
3466;400804;FR0014008PC1;FR0014008PC1;Bond;GROUPE BPCE SA (EUR 2.250, 2-Mar-2032);1515.434235;1.834448195;0.0;0.0;0.0;1.898284284;2937863.014;3000000.0;-526.6591825602123;-526.6591825602123;1.834448195;2870940.613072;0.109203489;2937863.014;;6.0;2937863.014
3467;400804;FR0014008PK4;FR0014008PK4;Bond;GROUPE BPCE SA (EUR 1.625, 2-Mar-2029);2012.755522;2.782091677;0.0;0.0;0.0;2.87161304;1915082.192;2000000.0;-522.8402666919774;-522.8402666919774;2.782091677;1879306.3902760001;0.071185639;1915082.192;;7.0;1915082.192
3468;400804;FR00140099G0;FR00140099G0;Bond;HSBC HOLDINGS PLC (EUR 0.750, 22-Mar-2027);1077.353748;1.920278287;0.0;0.0;0.0;1.967771942;1934709.863;2000000.0;-366.7661803283059;-366.7661803283059;1.920278287;1909963.6902174999;0.071915221;1934709.863;;7.0;1934709.863
3469;400804;FR0014009HA0;FR0014009HA0;Bond;BNP PARIBAS SA (EUR 2.500, 31-Mar-2032);1622.164896;1.908823613;0.0;0.0;0.0;1.97538073;2943750.0;3000000.0;-548.590278508317;-548.590278508317;1.908823613;2873970.516564;0.109422314;2943750.0;;8.0;2943750.0
3470;400804;FR0014009O62;FR0014009O62;Bond;REPUBLIC OF FRANCE (EUR 1.250, 25-May-2038);57693.78891;11.43647337;0.0;0.0;0.0;11.8563999;3807582.192;5000000.0;-4122.8395145330005;-4122.8395145330005;11.43647337;3604992.01209;0.141531874;3807582.192;;10.0;3807582.192
3471;400804;FR001400AFL5;FR001400AFL5;Bond;SUEZ SA (FR) (EUR 1.875, 24-May-2027);1144.339646;2.02079053;0.0;0.0;0.0;2.08007537;2982588.082;3000000.0;-595.4192611749777;-595.4192611749777;2.02079053;2946467.00059;0.110865967;2982588.082;;7.0;2982588.082
3472;400804;FR001400AFN1;FR001400AFN1;Bond;SUEZ SA (FR) (EUR 2.375, 24-May-2030);7831.755909;4.599740509;0.0;0.0;0.0;4.750085465;2934858.904;3000000.0;-1312.7308616603905;-1312.7308616603905;4.599740509;2853923.73568;0.109091823;2934858.904;;7.0;2934858.904
3473;400804;FR001400AFO9;FR001400AFO9;Bond;SUEZ SA (FR) (EUR 2.875, 24-May-2034);13252.5652;7.556856682;0.0;0.0;0.0;7.855600682;1885393.151;2000000.0;-1358.9336181973893;-1358.9336181973893;7.556856682;1798278.9344600001;0.070082066;1885393.151;;7.0;1885393.151
3474;400804;FR001400AIN5;FR001400AIN5;Bond;REPUBLIC OF FRANCE (EUR 0.750, 25-Feb-2028);20539.18304;2.818349611;0.0;0.0;0.0;2.883994071;19135972.6;20000000.0;-5323.194753498336;-5323.194753498336;2.818349611;18887631.018955;0.711304426;19135972.6;;10.0;19135972.6
3475;400804;FR001400AJX2;FR001400AJX2;Bond;BOUYGUES (EUR 2.250, 29-Jun-2029);3785.275075;3.847772991;0.0;0.0;0.0;3.959942559;1980844.11;2000000.0;-744.6040742913704;-744.6040742913704;3.847772991;1935155.93574;0.073630079;1980844.11;;7.0;1980844.11
3476;400804;FR001400AKP6;FR001400AKP6;Bond;BNP PARIBAS SA (EUR 2.750, 25-Jul-2028);2114.930731;2.173355658;0.0;0.0;0.0;2.237957904;3041280.822;3000000.0;-651.3518968866108;-651.3518968866108;2.173355658;2996987.1451505003;0.113047638;3041280.822;;8.0;3041280.822
3477;400804;FR001400AY79;FR001400AY79;Bond;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 3.875, 16-Jun-2032);1939.038723;2.028514066;0.0;0.0;0.0;2.100943513;3110476.027;3000000.0;-615.0576134488707;-615.0576134488707;2.028514066;3032059.889344;0.115619698;3110476.027;;8.0;3110476.027
3478;400804;FR001400B1L7;FR001400B1L7;Bond;RENAULT S.A. (EUR 4.750, 6-Jul-2027);1751.885209;1.867977727;0.0;0.0;0.0;1.921958463;3212990.137;3000000.0;-593.3111838688393;-593.3111838688393;1.867977727;3176221.939336;0.119430256;3212990.137;;6.0;3212990.137
