Portfolio,d1_id,TV,Duration_t,DollarRateConvexity1pc,TotalEffect,Counterparty,ISIN,AssetClass,TV_day,shock_rates_dec,Duration_next,AssetType,Sector1,Seniority,CompositeBroadRating,MaturityDate,Maturity,Maturity Band,EffectiveMaturityDate,LiquidityScore,Country,{Class_Rating},TV_change
900200,DE000A4DE9Y3,4663826.095892733,4.395486904036344,11363.953271045835,-138130.8543390683,,DE000A4DE9Y3,Bond,4525695.241553664,0.0025,4.6795857358124895,Bond,Financials,Senior,BBB,2031-02-13 00:00:00,5.876712328767123,5-10,2030-02-13,7.0,Germany,IG,138130.85433906876
900200,DE000NRW0N26,8024472.73972603,22.716086268187055,636055.9528033625,-738245.4071984189,,DE000NRW0N26,Bond,7286227.332527611,0.0025,38.61748508827112,Bond,Sub-sovereigns,Senior,AA,2073-03-07 00:00:00,47.967123287671235,10+,2073-03-07,9.0,Germany,IG,738245.4071984189
900200,DUM25 Cmdty,0.0,0.0,-290.5085280898374,4123.375420056874,,,Bond Future,4123.375420056874,0.0025,-0.007262713202245935,Bond Future,Sovereigns,,AAA,2025-06-06 00:00:00,0.18356164383561643,0-1,2027-03-11,,Germany,IG,-4123.375420056874
900200,ES0813211028,10263000.000000002,0.7619010133375568,801.5036634389886,-95156.39690957277,,ES0813211028,Bond,10167843.60309043,0.0025,0.7819386049235315,Bond,Financials,Preferred Stock,BB,9999-12-31 00:00:00,7980.049315068493,10+,2026-01-15,4.0,Spain,HY,95156.39690957218
900200,FR0012599645,50743702.152000025,0.230690403526216,3876.2395438049007,-126147.2268456175,,FR0012599645,Fund Unit,50617554.92515441,0.0025,0.3275963921213385,Fund Unit,Multi-sector Funds,,N/R,,,,,,,NR,126147.22684561461
900200,FR0012737963,2712838.4999996554,0.2878308724248783,41.9619519131888,-9399.600670109558,,FR0012737963,Bond,2703438.899329546,0.0025,0.28887992122270806,Bond,Financials,Subordinated,BBB,2025-07-15 00:00:00,0.29041095890410956,0-1,2025-07-15,7.0,France,IG,9399.600670109503
900200,FR0013413887,4086095.89041096,0.0389757815552729,15.725012403322586,-1007.5304935259902,,FR0013413887,Bond,4085088.3599174344,0.0025,0.03936890686535596,Bond,Corporates,Junior Subordinated,BBB,9999-12-31 00:00:00,7980.049315068493,10+,2025-04-15,2.0,France,IG,1007.5304935257882
900200,FR0014009A50,5834150.082191716,0.141182605125601,91.71501247350596,-5506.4786392193055,,FR0014009A50,Bond,5828643.603552497,0.0025,0.14347548043743863,Bond,Financials,Senior,A,2025-05-23 00:00:00,0.14520547945205478,0-1,2025-05-23,8.0,France,IG,5506.478639218956
900200,FR001400A5N5,6864745.315068487,0.0929890186185941,67.83888420815575,-3949.5794963407734,,FR001400A5N5,Bond,6860795.735572146,0.0025,0.09468499072379799,Bond,Corporates,Senior,BBB,2025-05-05 00:00:00,0.0958904109589041,0-1,2025-05-03,5.0,France,IG,3949.579496340826
900200,FR001400N6I8,100764.34246575343,7.376149768623145,671.5227862663645,-5001.110722050944,,FR001400N6I8,Bond,95763.23174370249,0.0025,7.3929378382798046,Bond,Financials,Senior,A,2034-02-03 00:00:00,8.852054794520548,5-10,2034-02-03,7.0,France,IG,5001.110722050944
900200,FR001400Y969,5015594.520547946,8.191878368966679,40824.502825454365,-252217.77728268434,,FR001400Y969,Bond,4763376.743265262,0.0025,9.212490939603038,Bond,Corporates,Senior,A,2035-03-21 00:00:00,9.978082191780821,5-10,2034-12-21,6.0,France,IG,252217.7772826841
