day_index,day_label,Portfolio,Identifier,AssetClass,TV_start,TV_pre_collateral,TV_end_of_day,Stress_PnL,Collateral_sales
2,Day 2,300191,FR0128607365,Bond,-10345.0314785,-10340.924948058397,-10340.924948058397,4.106530441602445,0.0
2,Day 2,300191,FR0128614064,Bond,-9795.39741,-9787.113605151095,-9787.113605151095,8.283804848904765,0.0
2,Day 2,300191,FR0128614254,Bond,-9333.69744,-9325.044378084862,-9325.044378084862,8.653061915138096,0.0
2,Day 2,300191,FR0128614551,Bond,-10189.86634775,-10183.201723813725,-10183.201723813725,6.664623936274438,0.0
2,Day 2,300191,FR0128615376,Bond,-12311.762965749998,-12302.02073070218,-12302.02073070218,9.742235047819122,0.0
2,Day 2,300191,FR0128633858,Bond,-14696.339558500002,-14688.03297839224,-14688.03297839224,8.306580107760965,0.0
2,Day 2,300191,FR0128635192,Bond,-12451.25400525,-12443.800647678265,-12443.800647678265,7.453357571735978,0.0
2,Day 2,300191,FR0128635606,Bond,-6224.54176825,-6220.815983843854,-6220.815983843854,3.7257844061459764,0.0
2,Day 2,300191,FR0128656842,Bond,-51144.27391275,-51059.53535852355,-51059.53535852355,84.73855422645283,0.0
2,Day 2,300191,FR0128662154,Bond,-10489.4408385,-10475.765391329162,-10475.765391329162,13.675447170839107,0.0
2,Day 2,300191,FR0128666064,Bond,-15375.974794750002,-15360.762851161882,-15360.762851161882,15.211943588119539,0.0
2,Day 2,300191,FR0128692607,Bond,-76280.76088875,-76194.24490012237,-76194.24490012237,86.5159886276233,0.0
2,Day 2,300191,FR0128768654,Bond,-75104.0121145,-74994.63045690248,-74994.63045690248,109.38165759752155,0.0
2,Day 2,300191,FR0128787282,Bond,-18191.851698,-18147.72573655562,-18147.72573655562,44.125961444377026,0.0
2,Day 2,300191,FR0128789924,Bond,-35424.149848249996,-35375.38456037122,-35375.38456037122,48.7652878787776,0.0
2,Day 2,300191,FR0128806710,Bond,-22441.548064,-22402.374468175778,-22402.374468175778,39.17359582422068,0.0
