;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;TV_before_stress;LiquidityScore
3207;389088;FR001400I7P8;FR001400I7P8;Bond;GROUPE BPCE SA (EUR 5.750, 1-Jun-2033);3640.609054;2.769179012;0.0;0.0;0.0;2.868368493;3334448.63;3000000.0;-850.4354480980726;-850.4354480980726;2.769179012;3091484.7453838573;0.417362332;3334448.63;;3071074.2946295035;6.0
3208;389088;FR001400L9Q7;FR001400L9Q7;Bond;VALEO (EUR 5.875, 12-Apr-2029);2382.041617;3.222296495;0.0;0.0;0.0;3.376568133;1640667.74;1500000.0;-462.99018782085653;-462.99018782085653;3.222296495;1452111.6570838417;0.205357164;1640667.74;;1436832.9808857534;5.0
3209;389088;FR001400M1X9;FR001400M1X9;Bond;SOCIETE GENERALE SA (EUR 6.500, 16-May-2044);17393.24561;6.31129475;0.0;0.0;0.0;6.625291652;3253063.014;2800000.0;-1694.2693860588565;-1694.2693860588565;6.31129475;2725166.126037802;0.407175553;3253063.014;;2684503.6607723897;7.0
3210;389088;FR001400MLX3;FR001400MLX3;Bond;ILIAD SA (EUR 5.375, 15-Feb-2029);4064.826823;3.282491367;0.0;0.0;0.0;3.420192718;2822929.521;2700000.0;-809.5742755040907;-809.5742755040907;3.282491367;2493056.864103671;0.353337112;2822929.521;;2466340.913012036;6.0
3211;389088;FR001400Q6Z9;FR001400Q6Z9;Bond;AIR FRANCE-KLM (EUR 4.625, 23-May-2029);1723.462671;3.456511952;0.0;0.0;0.0;3.591981529;1064354.247;1000000.0;-319.22029940710877;-319.22029940710877;3.456511952;934067.310819009;0.133221837;1064354.247;;923533.0409385744;6.0
3212;389088;FR001400SIM9;FR001400SIM9;Bond;UNIBAIL-RODAMCO (EUR 3.500, 11-Sep-2029);4653.101172;3.874175613;0.0;0.0;0.0;4.008059379;3060131.918;3000000.0;-1114.9876829717125;-1114.9876829717125;3.874175613;2892494.6890086327;0.383026981;3060131.918;;2877999.8491300005;6.0
3213;389088;FR001400UM87;FR001400UM87;Bond;SOC D'ETUDES PLACE FINAN (EUR 6.000, Perpetual);11199.31128;6.860237419;0.0;0.0;0.0;7.075276504;1896006.868;1900000.0;-1056.2326838890833;-1056.2326838890833;6.860237419;1564994.0884996818;0.237317151;1896006.868;;1539644.5040863438;4.0
3214;389088;FR001400WK95;FR001400WK95;Bond;RENAULT S.A. (EUR 3.500, 17-Jan-2028);1666.526451;2.469520545;0.0;0.0;0.0;2.545605582;1931806.0;1900000.0;-460.280212879378;-460.280212879378;2.469520545;1869367.7991246397;0.241798014;1931806.0;;1863844.4365700872;7.0
3215;389088;FR001400WKP0;FR001400WKP0;Bond;GROUPE BPCE SA (EUR 4.250, 16-Jul-2035);8717.575511;4.61058933;0.0;0.0;0.0;4.806614754;3227572.603;3200000.0;-1295.2263981330648;-1295.2263981330648;4.61058933;2840328.0388450143;0.403985;3227572.603;;2809242.6052898206;7.0
3216;389088;FXF11702;Not Classified;Currency Forward;BNP_PARIBAS_FR EUR/CAD 20250414;-0.005613605999999827;0.076712328;0.0;239377.5248;0.0;0.076712328;-39203.66000000015;-38200.32999999821;0.30074040247204914;0.0;0.0;-39203.66000000015;-0.0049069969999999685;-39203.66000000015;BNP PARIBAS;-39203.66000000015;
